,User,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
317,1,4,kd2a3,6,174573,4,0,172263,-1
318,1,4,Logout,0,174579,6,0,172263,-1
319,2,4,Tour,26,402,6,0,26,-1
320,2,4,Übersicht,45,428,6,0,71,-1
321,2,2,ks3a,42,473,6,0,113,-1
322,2,2,bs3a1,90,515,4,0,203,-1
323,2,2,ks3a7,199,605,4,0,402,-1
324,2,2,ks3a2,77,804,4,0,479,-1
325,2,2,ks3a4,34,881,4,0,513,-1
326,2,3,kd1a,29,915,6,0,542,-1
327,2,3,Übersicht,10,944,6,0,552,-1
328,2,2,ks3a,62,954,6,0,614,-1
329,2,3,kd1a2,70,1016,4,0,684,-1
330,2,4,kd2a4,7,1086,4,0,691,-1
331,2,4,kd2a,4,1093,6,0,695,-1
332,2,4,Übersicht,5,1097,6,0,700,-1
333,2,3,kd1a,92,1102,6,0,792,-1
334,2,4,kd2a1,863,1194,4,0,1655,-1
335,2,4,kd2a2,324,2057,4,0,1979,-1
336,2,4,kd2a3,59,2381,4,0,2038,-1
337,2,4,kd2a1,6,2440,4,0,2044,-1
338,2,4,kd2a2,204,2446,4,0,2248,-1
339,2,4,kd2a2,4,2650,4,0,2252,-1
340,2,4,kd2a3,554,2654,4,0,2806,-1
341,2,4,kd2a3b2_1a,1607,3208,5,0,4413,-1
342,2,4,kd2a3,121,4815,4,0,4534,-1
343,2,4,kd2a3b3_1a,5,4936,5,0,4539,-1
344,2,4,kd2a3,116,4941,4,0,4655,-1
345,2,4,kd2a3b4_1a,10,5057,5,0,4665,-1
346,2,4,kd2a3b4_1a,18,5067,5,0,4683,-1
347,2,4,kd2a3,40,5085,4,0,4723,-1
348,2,4,kd2a,6,5125,6,0,4729,-1
349,2,4,kd2a3,3,5131,4,0,4732,-1
350,2,4,kd2a4,40,5134,4,0,4772,-1
351,2,4,kd2a4b2_1a,10,5174,5,0,4782,-1
352,2,4,kd2a4,10,5184,4,0,4792,-1
353,2,4,kd2a4b1_1a,74,5194,5,0,4866,-1
354,2,4,kd2a4,57,5268,4,0,4923,-1
355,2,4,kd2a4b3_1a,34,5325,5,0,4957,-1
356,2,4,kd2a4,64,5359,4,0,5021,-1
357,2,4,kd2a4b4_1a,18,5423,5,0,5039,-1
358,2,4,kd2a4,9,5441,4,0,5048,-1
359,2,4,kd2a1,127,5450,4,0,5175,-1
360,2,4,kd2a1b1_1a,37,5577,5,0,5212,-1
361,2,4,kd2a1,13,5614,4,0,5225,-1
362,2,4,Logout,162973,5627,6,0,168198,-1
363,2,4,Tour,4,168600,6,0,168202,-1
364,2,4,Übersicht,42,168604,6,0,168244,-1
365,2,4,kd2a,4,168646,6,0,168248,-1
366,2,4,kd2a3,5,168650,4,0,168253,-1
367,2,4,kd2a,2,168655,6,0,168255,-1
368,2,4,Übersicht,174,168657,6,0,168429,-1
369,2,4,kd2b1,4,168831,4,1,168433,-1
370,2,4,kd2b,1079,168835,6,1,169512,-1
371,2,4,kd2b1b2_1a,116,169914,5,1,169628,-1
372,2,4,kd2b1,59,170030,4,1,169687,-1
373,2,4,kd2b1b4_1a,21,170089,5,1,169708,-1
374,2,4,kd2b1,8,170110,4,1,169716,-1
375,2,4,kd2b2,725,170118,4,1,170441,-1
376,2,4,kd2b2,19,170843,4,1,170460,-1
377,2,4,kd2b2b1_1,252,170862,5,1,170712,-1
378,2,4,kd2b2b2_1,17,171114,5,1,170729,-1
379,2,4,kd2b2,99,171131,4,1,170828,-1
380,2,4,kd2b,4,171230,6,1,170832,-1
381,2,4,Übersicht,19,171234,6,1,170851,-1
382,2,1,ks2a1,20,171253,4,0,170871,-1
383,2,1,ks2a,95,171273,6,0,170966,-1
384,2,1,ks2a1b4_1a,90,171368,5,0,171056,-1
385,2,1,ks2a2,19,171458,4,0,171075,-1
386,2,1,ks2a1,70,171477,4,0,171145,-1
387,2,1,ks2a3,20,171547,4,0,171165,-1
388,2,1,ks2a4,93,171567,4,0,171258,-1
389,2,1,Übersicht,51,171660,6,0,171309,-1
390,2,1,ks2a,6,171711,6,0,171315,-1
391,2,1,ks2a5,6,171717,4,0,171321,-1
392,2,1,ks2b2,8,171723,4,1,171329,-1
393,2,1,ks2b1,38,171731,4,1,171367,-1
394,2,1,ks2b,24,171769,6,1,171391,-1
395,2,1,ks2b,11,171793,6,1,171402,-1
396,2,1,Übersicht,19,171804,6,1,171421,-1
397,2,0,ka1a1,2,171823,4,0,171423,-1
398,2,0,ks1a,52,171825,6,0,171475,-1
399,2,0,ks1a2,27,171877,4,0,171502,-1
400,2,0,ks1a5,3,171904,4,0,171505,-1
401,2,0,ks1a4,632,171907,4,0,172137,-1
402,2,0,ks1a,9,172539,6,0,172146,-1
403,2,2,ks3d,7,172548,1,1,7,-1
404,2,2,Übersicht,66,172555,6,1,172212,-1
405,2,2,ks3b,12,172621,6,1,172224,-1
406,2,2,ks3b2,14,172633,4,1,172238,-1
407,2,2,Übersicht,171,172647,6,1,172409,-1
408,2,2,ks3b1,647,172818,4,1,173056,-1
409,2,2,Übersicht,3,173465,6,1,173059,-1
410,2,1,ks2b,34,173468,6,1,173093,-1
411,2,1,Übersicht,5,173502,6,1,173098,-1
412,2,2,ks3b,15,173507,6,1,173113,-1
413,2,5,kd3a,6,173522,6,0,173119,-1
414,2,5,kd3a2,119,173528,4,0,173238,-1
415,2,5,kd3a4,36,173647,4,0,173274,-1
416,2,5,kd3a3,887,173683,4,0,174161,-1
417,2,5,kd3a5,13,174570,4,0,174174,-1
418,2,5,kd3a,1,174583,6,0,174175,-1
419,2,5,Übersicht,8,174584,6,0,174183,-1
420,2,5,Logout,8388,174592,6,0,182571,-1
421,2,5,Tour,8,182980,6,0,182579,-1
422,2,5,Übersicht,4,182988,6,0,182583,-1
423,2,4,kd2a1,4,182992,4,0,182587,-1
424,2,4,kd2a,10,182996,6,0,182597,-1
425,2,5,kd3a5,3,183006,4,0,182600,-1
426,2,5,kd3a,3,183009,6,0,182603,-1
427,2,5,Übersicht,5,183012,6,0,182608,-1
428,2,4,kd2a,5,183017,6,0,182613,-1
429,2,4,kd2a4,5735,183022,4,0,188348,-1
430,2,4,Logout,0,188757,6,0,188348,-1
431,3,4,Tour,5,238,6,0,5,-1
432,3,0,ka1a1,42,243,4,0,47,-1
433,3,0,ks1a,9,285,6,0,56,-1
434,3,0,Übersicht,79,294,6,0,135,-1
435,3,0,ka1a1,38,373,4,0,173,-1
436,3,0,ks1a1b1_1a,18,411,5,0,191,-1
437,3,0,ks1a1b2_1a,13,429,5,0,204,-1
438,3,0,ka1a1,27,442,4,0,231,-1
439,3,0,ka1a1,8,469,4,0,239,-1
440,3,0,ks1a1b3_1a,2,477,5,0,241,-1
441,3,0,ks1a1b4_1a,11,479,5,0,252,-1
442,3,0,ka1a1,43,490,4,0,295,-1
443,3,0,ks1a1k1_1a,107,533,3,0,107,-1
444,3,0,ks1a1k2_1a,85,640,3,0,192,-1
445,3,0,ks1a1k3_1a,34,725,3,0,226,-1
446,3,0,ks1a1k3_1a,60,759,3,0,286,-1
447,3,0,ks1a1k4_1a,43,819,3,0,329,-1
448,3,0,ks1a1k4_1a,35,862,3,0,364,-1
449,3,0,ks1a2,38,897,4,0,333,-1
450,3,0,ks1a2b1_1a,129,935,5,0,462,-1
451,3,0,ks1a2,108,1064,4,0,570,-1
452,3,0,ks1a2b2_1a,26,1172,5,0,596,-1
453,3,0,ks1a2,6,1198,4,0,602,-1
454,3,0,ks1a2,36,1204,4,0,638,-1
455,3,0,ks1a2b3_1a,29,1240,5,0,667,-1
456,3,0,ks1a2b4_1a,71,1269,5,0,738,-1
457,3,0,ks1a2k1_1a,21,1340,3,0,385,-1
458,3,0,ks1a2,233,1361,4,0,971,-1
459,3,0,ks1a2k1_1a,11,1594,3,0,396,-1
460,3,0,ks1a2,78,1605,4,0,1049,-1
461,3,0,ks1a2k1_1a,17,1683,3,0,413,-1
462,3,0,ks1a2,93,1700,4,0,1142,-1
