,User,Topic,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
362,2,-1,4,Logout,162973,46909296,6,0,168198,-1
363,2,-1,4,Tour,4,47072269,6,0,168202,-1
364,2,-1,4,Übersicht,42,47072273,6,0,168244,-1
365,2,-1,4,kd2a,4,47072315,6,0,168248,-1
366,2,25,4,kd2a3,5,47072319,4,0,168253,-1
367,2,-1,4,kd2a,2,47072324,6,0,168255,-1
368,2,-1,4,Übersicht,174,47072326,6,0,168429,-1
369,2,26,4,kd2b1,4,47072500,4,1,168433,-1
370,2,-1,4,kd2b,1079,47072504,6,1,169512,-1
371,2,26,4,kd2b1b2_1a,116,47073583,5,1,169628,-1
372,2,26,4,kd2b1,59,47073699,4,1,169687,-1
373,2,26,4,kd2b1b4_1a,21,47073758,5,1,169708,-1
374,2,26,4,kd2b1,8,47073779,4,1,169716,-1
375,2,27,4,kd2b2,725,47073787,4,1,170441,-1
376,2,27,4,kd2b2,19,47074512,4,1,170460,-1
377,2,27,4,kd2b2b1_1,252,47074531,5,1,170712,-1
378,2,27,4,kd2b2b2_1,17,47074783,5,1,170729,-1
379,2,27,4,kd2b2,99,47074800,4,1,170828,-1
380,2,-1,4,kd2b,4,47074899,6,1,170832,-1
381,2,-1,4,Übersicht,19,47074903,6,1,170851,-1
382,2,4,1,ks2a1,20,47074922,4,0,170871,-1
383,2,-1,1,ks2a,95,47074942,6,0,170966,-1
384,2,4,1,ks2a1b4_1a,90,47075037,5,0,171056,-1
385,2,5,1,ks2a2,19,47075127,4,0,171075,-1
386,2,4,1,ks2a1,70,47075146,4,0,171145,-1
387,2,6,1,ks2a3,20,47075216,4,0,171165,-1
388,2,7,1,ks2a4,93,47075236,4,0,171258,-1
389,2,-1,1,Übersicht,51,47075329,6,0,171309,-1
390,2,-1,1,ks2a,6,47075380,6,0,171315,-1
391,2,8,1,ks2a5,6,47075386,4,0,171321,-1
392,2,12,1,ks2b2,8,47075392,4,1,171329,-1
393,2,10,1,ks2b1,38,47075400,4,1,171367,-1
394,2,-1,1,ks2b,24,47075438,6,1,171391,-1
395,2,-1,1,ks2b,11,47075462,6,1,171402,-1
396,2,-1,1,Übersicht,19,47075473,6,1,171421,-1
397,2,0,0,ka1a1,2,47075492,4,0,171423,-1
398,2,-1,0,ks1a,52,47075494,6,0,171475,-1
399,2,1,0,ks1a2,27,47075546,4,0,171502,-1
400,2,3,0,ks1a5,3,47075573,4,0,171505,-1
401,2,2,0,ks1a4,632,47075576,4,0,172137,-1
402,2,-1,0,ks1a,9,47076208,6,0,172146,-1
403,2,-1,2,ks3d,7,47076217,1,1,7,-1
404,2,-1,2,Übersicht,66,47076224,6,1,172212,-1
405,2,-1,2,ks3b,12,47076290,6,1,172224,-1
406,2,19,2,ks3b2,14,47076302,4,1,172238,-1
407,2,-1,2,Übersicht,171,47076316,6,1,172409,-1
408,2,20,2,ks3b1,647,47076487,4,1,173056,-1
409,2,-1,2,Übersicht,3,47077134,6,1,173059,-1
410,2,-1,1,ks2b,34,47077137,6,1,173093,-1
411,2,-1,1,Übersicht,5,47077171,6,1,173098,-1
412,2,-1,2,ks3b,15,47077176,6,1,173113,-1
413,2,-1,5,kd3a,6,47077191,6,0,173119,-1
414,2,28,5,kd3a2,119,47077197,4,0,173238,-1
415,2,30,5,kd3a4,36,47077316,4,0,173274,-1
416,2,29,5,kd3a3,887,47077352,4,0,174161,-1
417,2,31,5,kd3a5,13,47078239,4,0,174174,-1
418,2,-1,5,kd3a,1,47078252,6,0,174175,-1
419,2,-1,5,Übersicht,8,47078253,6,0,174183,-1
420,2,-1,5,Logout,8388,47078261,6,0,182571,-1
421,2,-1,5,Tour,8,47086649,6,0,182579,-1
422,2,-1,5,Übersicht,4,47086657,6,0,182583,-1
423,2,23,4,kd2a1,4,47086661,4,0,182587,-1
424,2,-1,4,kd2a,10,47086665,6,0,182597,-1
425,2,31,5,kd3a5,3,47086675,4,0,182600,-1
426,2,-1,5,kd3a,3,47086678,6,0,182603,-1
427,2,-1,5,Übersicht,5,47086681,6,0,182608,-1
428,2,-1,4,kd2a,5,47086686,6,0,182613,-1
429,2,22,4,kd2a4,5735,47086691,4,0,188348,-1
430,2,-1,4,Logout,0,47092426,6,0,188348,-1
431,3,-1,4,Tour,5,46903907,6,0,5,-1
432,3,0,0,ka1a1,42,46903912,4,0,47,-1
433,3,-1,0,ks1a,9,46903954,6,0,56,-1
434,3,-1,0,Übersicht,79,46903963,6,0,135,-1
435,3,0,0,ka1a1,38,46904042,4,0,173,-1
436,3,0,0,ks1a1b1_1a,18,46904080,5,0,191,-1
437,3,0,0,ks1a1b2_1a,13,46904098,5,0,204,-1
438,3,0,0,ka1a1,27,46904111,4,0,231,-1
439,3,0,0,ka1a1,8,46904138,4,0,239,-1
