Task,Date/Time,User,ResponsTask,Aufgabenniveau,Code
KS3c5U4_1,2021-10-15 12:09:36,HE1021-933,r,hoch,SC24SY
KD1c2U7_1,2021-10-15 12:09:55,HE1021-928,r,niedrig,FR28JO
KS2a5K4_1,2021-10-15 12:10:37,HE1021-952,r,,FR06BR
KS3c1U5_1,2021-10-15 12:12:04,HE1021-932,r,niedrig,FR14AN
KS3c1U1_1,2021-10-15 12:15:19,HE1021-932,r,niedrig,FR14AN
KS3c4U5_1,2021-10-15 12:15:26,HE1021-933,r,hoch,SC24SY
KS1c1U6_1,2021-10-15 12:16:21,HE1021-942,r,niedrig,MA31CE
KS3c1U9_1,2021-10-15 12:16:32,HE1021-932,r,mittel,FR14AN
KS3c1U10_1,2021-10-15 12:17:23,HE1021-932,twr,mittel,FR14AN
KS3c1U3_1,2021-10-15 12:18:09,HE1021-932,r,mittel,FR14AN
KS3c6U5_1,2021-10-15 12:18:22,HE1021-933,r,hoch,SC24SY
KS3c2U6_1,2021-10-15 12:19:10,HE1021-924,twr,niedrig,BE19UT
KS1c2U1_1,2021-10-15 12:22:22,HE1021-942,r,niedrig,MA31CE
KS1c2U9_1,2021-10-15 12:23:29,HE1021-942,twr,mittel,MA31CE
KS1c5U8_1,2021-10-15 12:26:36,HE1021-942,r,niedrig,MA31CE
KS3c2U1_1,2021-10-15 12:31:27,HE1021-924,twr,mittel,BE19UT
KS3c2U3_1,2021-10-15 12:32:46,HE1021-924,f,mittel,BE19UT
